ling,yuan,xing 〇
xie 㥟
xu 㥠
chi 㥡
qiu,jiu 㥢
hui 㥣
yu 㥥
qie 㥦
shun 㥧
wei,shui 㥨
duo 㥩
lou 㥪
pang 㥬
tai 㥭
zhou,chao 㥮
yin 㥯
sao 㥰
fei 㥱
chen,shen 㥲
yuan 㥳
yi,ti 㥴
hun 㥵
qian,se 㥶
ye 㥷
min 㥸
fen 㥹
he 㥺
yin,yan 㥼
ze,ce 㥽
ni 㥾
ao 㥿
feng 㦀
lian 㦁
chang 㦂
chan 㦃
ma 㦄
chai,di,die 㦅
hu,xia 㦆
lu 㦇
yi 㦉
hua 㦊
zha 㦋
xu,hu 㦌
e 㦍
huo 㦎
sun,xuan 㦏
ni 㦐
han,xian 㦑
li 㦒
ran,xian 㦓
yan 㦔
long 㦕
men 㦖
jin 㦗
ji 㦘
bian 㦚
yu 㦛
huo,xue 㦜
miao 㦝
chou 㦞
mai 㦟
le 㦡
jie 㦢
wei 㦣
yi 㦤
xuan,xian 㦥
xi 㦦
can 㦧
lan 㦨
yin 㦩
xie 㦪
za 㦫
luo 㦬
ling 㦭
qian 㦮
huo 㦯
jian 㦰
wo 㦱
ge 㦴
zhu 㦵
die,yong 㦶
yong 㦷
ji 㦸
yang 㦹
ru 㦺
xi 㦻
shuang 㦼
yu 㦽
yi 㦾
qian,hu 㦿
ji 㧀
qu,he 㧁
tian 㧂
jiu,shou 㧃
qian 㧄
mu,dao 㧅
jin 㧆
mao 㧇
yin 㧈
gai,hai,ye 㧉
po,ba 㧊
xuan 㧋
mao 㧌
beng,fang 㧍
ya,qia 㧎
gang 㧏
song 㧐
hui 㧑
yu 㧒
gua 㧓
guai 㧔
liu 㧕
e 㧖
ji,zhi,zi 㧗
zi 㧘
bi,bie 㧙
wa 㧚
lie 㧜
kuai 㧟
hai,wei 㧡
yin 㧢
zhu 㧣
chong 㧤
xian 㧥
hong,xuan 㧦
qiu 㧨
pei 㧩
gui,wei 㧪
ruan,rui,er 㧫
gong 㧬
qiong 㧭
hu 㧮
lao 㧯
li 㧰
chen 㧱
san 㧲
zhuo,bai 㧳
e,wo 㧴
pou 㧵
keng 㧶
tun 㧷
peng 㧸
te 㧹
ta 㧺
zhuo,zu,du 㧻
biao 㧼
gu 㧽
hu 㧾
bing 㨀
zhi 㨁
dong 㨂
cheng,dui 㨃
zhao,zhou,tiao 㨄
nei,rui 㨅
lin 㨆
po 㨇
ji 㨈
min,wen 㨉
tuo,wei,duo 㨊
che 㨋
gou 㨌
bang 㨍
ru 㨎
tan 㨏
bu 㨐
zong 㨑
kui 㨒
lao 㨓
han 㨔
ying 㨕
zhi 㨖
jie 㨗
xing 㨘
xi,xie 㨙
sun,xun 㨚
shan 㨛
qian 㨜
xie 㨝
su 㨞
hai 㨟
mi 㨠
hun 㨡
pi 㨢
hui 㨤
na 㨥
song 㨦
ben 㨧
liu,chou 㨨
jie 㨩
huang 㨪
lan 㨫
hu 㨭
dou 㨮
huo 㨯
gun 㨰
yao 㨱
ce 㨲
gui,ji 㨳
jian 㨴
jian 㨵
dao 㨶
jin 㨷
ma 㨸
hui,xue 㨹
mian,men 㨺
shan,zan,chan,can 㨻
lve 㨼
pi 㨽
yang 㨾
ju 㨿
ju 㩀
que 㩁
qian 㩃
shai 㩄
zu,jiu 㩆
zuo,huo,hua 㩇
yun 㩈
xi,da,la,xie 㩉
xuan 㩊
su,xiao 㩋
fei 㩌
ce 㩍
ye 㩎
den 㩐
qin 㩒
hui 㩓
tun 㩔
qiang 㩖
xi 㩗
ni 㩘
sai 㩙
meng 㩚
tuan 㩛
lan 㩜
hao 㩝
ci 㩞
zhai 㩟
piao,ao,pou 㩠
luo 㩡
mi,mie 㩢
fu 㩤
xi,xie 㩦
bo 㩧
hui 㩨
qing 㩩
xie 㩪
bo 㩭
qian 㩮
po 㩯
jiao 㩰
jue 㩱
kun 㩲
song 㩳
ju,qu 㩴
e 㩵
nie 㩶
qian 㩷
die 㩸
die 㩹
gui,qi 㩻
zhi 㩼
chi,e,qi 㩽
zhui,qi 㩾
ku 㩿
yu 㪀
qian,kan,qin 㪁
ku 㪂
he 㪃
fu 㪄
di 㪆
xian 㪇
gui 㪈
he 㪉
qun 㪊
han,he 㪋
tong 㪌
bei,bo 㪍
na,shan 㪎
bi 㪏
lu 㪐
ye 㪑
ni 㪒
chuai 㪓
san 㪔
chuo,diao 㪕
lu 㪖
tou 㪗
lian 㪘
ke 㪙
san 㪚
zhen 㪛
chuai,duo 㪜
lian 㪝
mao 㪞
qian,jian 㪠
ke,kai 㪡
shao 㪢
qiao,xiao 㪣
bi 㪤
zha 㪥
yin 㪦
xi 㪧
shan 㪨
su 㪩
sa 㪪
rui 㪫
zhuo,chuo 㪬
lu 㪭
ling 㪮
cha 㪯
huan 㪱
jia 㪴
ban 㪵
hu 㪶
dou 㪷
lou 㪹
ju 㪺
juan 㪻
ke 㪼
suo 㪽
luo,ge 㪾
zhe 㪿
ding 㫀
duan 㫁
zhu 㫂
yan 㫃
pang 㫄
cha 㫅
yi,e 㫊
yao,you 㫍
hui,gun 㫎
yao 㫏
yao 㫐
zhi,shi 㫑
gong 㫒
qi 㫓
gen 㫔
hou 㫗
mi 㫘
fu 㫙
hu 㫚
guang 㫛
tan 㫜
di 㫝
yan 㫟
qu 㫢
chang 㫤
ming 㫥
tao 㫦
bao 㫧
an 㫨
xian 㫫
mao 㫯
lang 㫰
nan 㫱
bei 㫲
chen 㫳
fei 㫵
zhou 㫶
ji 㫷
jie 㫸
shu 㫹
kun 㫻
die 㫼
lu 㫽
yu 㬂
tai 㬃
chan 㬄
man 㬅
min 㬆
huan 㬇
wen 㬈
nuan 㬉
huan 㬊
hou 㬋
jing 㬌
bo 㬍
xian 㬎
li 㬏
jin,zi 㬐
mang 㬒
piao 㬓
hao 㬔
yang 㬕
xian 㬗
su 㬘
wei 㬙
che 㬚
xi 㬛
jin 㬜
song,ceng 㬝
he 㬞
fen 㬟
shai,sha 㬠
ling 㬡
dui 㬣
qi 㬤
pu,bo 㬥
yue 㬦
bo 㬧
hui 㬩
die 㬪
yan 㬫
ju 㬬
jiao 㬭
nan 㬮
lie 㬯
yu 㬰
ti 㬱
tian 㬲
wu 㬳
hong 㬴
xiao 㬵
hao 㬶
tiao 㬸
zheng 㬹
huang,hang 㬻
fu 㬼
tun 㬿
reng 㭁
jiao 㭂
xin 㭄
yuan 㭇
jue 㭈
hua 㭉
bang 㭋
mou 㭌
gang 㭎
wei 㭏
mei 㭑
si 㭒
bian 㭓
lu 㭔
qu 㭕
he,ge 㭘
zhe 㭙
lv 㭚
pai,ba 㭛
rong 㭜
qiu,ou 㭝
lie 㭞
gong 㭟
xian 㭠
xin,xi 㭡
xin 㭢
niao 㭤
xie 㭨
lie 㭩
fu 㭪
cuan,cuo 㭫
zhuo 㭬
bei,bie,ba 㭭
zuo,zan 㭮
die,zhe 㭯
zui 㭰
he 㭱
ji 㭲
jian 㭴
tu 㭸
xian 㭹
an,yan 㭺
tang 㭻
ta 㭼
di 㭽
jue 㭾
ang 㭿
han 㮀
xiao 㮁
ju 㮂
wei,rui 㮃
bang 㮄
zhui 㮅
nie 㮆
tian 㮇
nai 㮈
you 㮋
mian 㮌
na,nai,ni 㮏
sheng,si 㮐
cha,qi 㮑
yin,yan 㮒
gen 㮓
chong,tong 㮔
ruan 㮕
jia 㮖
qin 㮗
mao 㮘
e 㮙
li 㮚
chi,yi 㮛
zang 㮜
he 㮝
jie 㮞
nian,ka 㮟
guan 㮡
hou 㮢
gai 㮣
fan,ben 㮥
se,suo 㮦
wen,wu 㮧
ji 㮨
xi 㮩
qiong 㮪
he,xia,qia 㮫
weng 㮬
xian 㮭
jie 㮮
hua,hun 㮯
pi 㮰
shen 㮱
chou 㮲
